year,country,party,vote,seat,family,lrgen,galtan,country_name,econ_ideology,social_ideology
2014,1,SPA,8.8,8.6999998,5,3.0,2.599999904632568,Belgium,-0.4,-0.48000001907348644
2014,1,CDH,5.0,6.0,4,4.400000095367432,5.0,Belgium,-0.11999998092651368,0.0
2014,1,Groen,5.3,4.0,7,2.200000047683716,1.200000047683716,Belgium,-0.5599999904632569,-0.7599999904632568
2014,1,VB,3.7,2.0,1,9.199999809265137,9.0,Belgium,0.8399999618530274,0.8
2014,1,VLD,9.8,9.3000002,3,7.0,2.400000095367432,Belgium,0.4,-0.5199999809265136
2014,1,PP,1.5,0.69999999,2,7.75,7.5,Belgium,0.55,0.5
2014,1,MR,9.6,13.3,3,7.0,3.0,Belgium,0.4,-0.4
2019,1,ECOLO,6.14,8.8000002,7,2.083333253860474,1.083333373069763,Belgium,-0.5833333492279051,-0.7833333253860474
2019,1,AGALEV,6.1,5.4000001,7,2.416666746139526,1.166666626930237,Belgium,-0.5166666507720948,-0.7666666746139527
2019,1,VLD/PVV,8.54,8.1000004,3,6.583333492279053,2.454545497894287,Belgium,0.3166666984558105,-0.5090909004211426
2019,1,CDV,8.89,8.1000004,4,5.583333492279053,6.25,Belgium,0.11666669845581054,0.25
2019,1,VU/NVA,16.03,16.9,8,7.916666507720947,6.090909004211426,Belgium,0.5833333015441895,0.21818180084228517
2019,1,PSC/CDH,3.7,3.4000001,4,4.583333492279053,5.0,Belgium,-0.08333330154418946,0.0
2019,1,PS,9.46,13.5,5,2.083333253860474,2.916666746139526,Belgium,-0.5833333492279051,-0.4166666507720948
2019,1,SP/SPA,6.71,6.0999999,5,3.083333253860474,2.75,Belgium,-0.3833333492279052,-0.45
2019,1,VB,11.95,12.2,1,9.583333015441896,8.0,Belgium,0.9166666030883792,0.6
2019,1,PVDA-PTB,8.62,8.1000004,6,0.3333333432674408,4.583333492279053,Belgium,-0.9333333313465119,-0.08333330154418946
2019,1,PRL/MR,7.56,9.5,3,6.5,3.181818246841431,Belgium,0.3,-0.3636363506317138
