econ_ideology,social_ideology,partisan_lean,partisan_strength,turnout_propensity,gender,educ,race,urban_rural
-1.0,-1.0,0.0,0.0,0.93,1,6,1,4
0.0,-0.3528169408998679,-0.6666666666666666,0.6666666666666666,0.97,1,5,1,1
0.5,0.878632830442908,-1.0,1.0,0.97,1,2,1,2
0.0,1.0,1.0,1.0,0.97,2,2,1,1
-0.5,0.27896844211274047,-0.6666666666666666,0.6666666666666666,0.9,2,6,1,1
0.0,-0.64905084512636,-0.3333333333333333,0.3333333333333333,0.36999999999999994,1,3,1,1
1.0,-0.6277134729179573,-0.6666666666666666,0.6666666666666666,0.97,2,5,1,1
0.0,1.0,-0.3333333333333333,0.3333333333333333,0.97,1,1,2,1
0.0,-0.5148374752531135,-1.0,1.0,0.97,2,2,2,4
0.5,-0.6829480955405706,0.0,0.0,0.93,1,5,1,2
0.0,-1.0,-0.6666666666666666,0.6666666666666666,0.97,2,5,2,3
-0.5,0.9761507337187149,-0.6666666666666666,0.6666666666666666,0.97,1,2,2,1
0.5,0.933272821412422,1.0,1.0,0.97,2,2,1,2
0.5,-1.0,0.3333333333333333,0.3333333333333333,0.9400000000000001,2,5,1,4
0.0,-0.6713670618039438,0.0,0.0,0.93,1,5,1,2
0.0,-0.24290223211920106,0.0,0.0,0.25,2,3,1,3
1.0,-1.0,0.3333333333333333,0.3333333333333333,0.97,1,6,1,2
0.5,1.0,-0.6666666666666666,0.6666666666666666,0.33999999999999997,1,1,3,1
-0.5,-1.0,-1.0,1.0,0.97,2,6,1,2
-1.0,0.6595527300244723,-0.3333333333333333,0.3333333333333333,0.78,2,3,1,2
0.5,1.0,0.3333333333333333,0.3333333333333333,0.48999999999999994,1,1,4,2
-0.5,1.0,-1.0,1.0,0.97,2,2,4,2
0.0,-0.17678152898979488,0.0,0.0,0.93,1,4,1,3
-1.0,-0.41510710439967574,-0.3333333333333333,0.3333333333333333,0.97,1,6,1,2
0.5,-0.47568086386542957,-0.6666666666666666,0.6666666666666666,0.42999999999999994,2,2,1,4
0.5,-0.622041550520909,1.0,1.0,0.97,1,3,1,4
1.0,0.24697415916280324,1.0,1.0,0.97,1,2,1,2
0.0,0.046867119895541896,0.3333333333333333,0.3333333333333333,0.97,2,3,1,2
0.0,0.5323110920764437,0.0,0.0,0.93,1,5,1,1
-1.0,-0.6103786463494972,-0.3333333333333333,0.3333333333333333,0.97,1,5,1,4
1.0,-0.24587247175656524,1.0,1.0,0.97,2,4,1,1
-0.5,0.17652729142087617,-0.6666666666666666,0.6666666666666666,0.4099999999999999,1,3,1,2
0.0,0.7992663264247094,-0.6666666666666666,0.6666666666666666,0.95,2,3,1,1
0.5,0.7246952400396796,1.0,1.0,0.97,2,3,1,2
0.0,0.39739913268418436,-1.0,1.0,0.97,1,2,3,1
0.5,-0.9669727006149667,0.3333333333333333,0.3333333333333333,0.97,1,5,3,1
0.0,-0.35032377204386744,0.6666666666666666,0.6666666666666666,0.97,2,6,1,1
0.5,-1.0,0.6666666666666666,0.6666666666666666,0.97,1,4,1,3
-0.5,0.12241568042757622,-0.3333333333333333,0.3333333333333333,0.97,1,4,1,1
-1.0,-0.824138193875952,-0.6666666666666666,0.6666666666666666,0.37,1,4,1,4
-0.5,0.21335718411324522,0.6666666666666666,0.6666666666666666,0.97,2,3,1,3
-1.0,-1.0,-0.3333333333333333,0.3333333333333333,0.8800000000000001,2,5,1,4
0.5,-1.0,1.0,1.0,0.97,2,6,1,4
0.0,0.49872551030748263,-1.0,1.0,0.97,2,2,1,4
0.5,0.08470934337840909,0.3333333333333333,0.3333333333333333,0.48999999999999994,1,4,1,2
0.0,-1.0,-0.6666666666666666,0.6666666666666666,0.97,1,6,1,2
0.0,0.8590876757186834,-0.6666666666666666,0.6666666666666666,0.5299999999999999,2,3,1,1
0.0,-0.22580642887928734,1.0,1.0,0.57,1,3,1,4
1.0,1.0,0.3333333333333333,0.3333333333333333,0.97,2,1,1,4
0.0,-0.19452084680949386,0.0,0.0,0.93,2,6,2,1
1.0,0.6930139548180936,1.0,1.0,0.97,2,2,1,4
0.5,0.5787741918986004,1.0,1.0,0.97,2,2,1,2
1.0,-0.40046014871643343,1.0,1.0,0.9400000000000001,2,5,1,1
0.5,-0.670901564665344,0.6666666666666666,0.6666666666666666,0.97,1,5,4,2
-0.5,-0.6226913441047098,-0.6666666666666666,0.6666666666666666,0.97,1,5,1,2
0.0,-1.0,-1.0,1.0,0.97,1,6,2,1
-1.0,0.11747391655893577,-1.0,1.0,0.9,2,5,3,2
0.0,1.0,0.0,0.0,0.44999999999999996,2,2,1,2
-0.5,0.7388999416367203,0.0,0.0,0.39,1,2,2,2
-1.0,-0.21032041232902893,-0.6666666666666666,0.6666666666666666,0.89,2,5,1,2
-0.5,0.5943696128838026,-0.3333333333333333,0.3333333333333333,0.31,1,2,1,3
0.0,0.9154589212855687,0.3333333333333333,0.3333333333333333,0.48999999999999994,1,1,1,4
-1.0,-0.7108465376113001,-0.6666666666666666,0.6666666666666666,0.86,1,3,1,3
0.5,-0.08140899401415383,0.6666666666666666,0.6666666666666666,0.97,1,3,1,3
-0.5,-0.03539631190754018,-0.3333333333333333,0.3333333333333333,0.48999999999999994,2,3,1,3
0.0,-0.1596684676196321,0.3333333333333333,0.3333333333333333,0.93,1,4,1,3
1.0,-0.39506659844004177,0.0,0.0,0.93,2,4,1,2
-0.5,0.008744279548475436,-1.0,1.0,0.97,1,2,1,1
0.0,-0.6330853139213821,0.0,0.0,0.44999999999999996,2,4,1,2
0.0,-0.03697664976281472,0.0,0.0,0.44999999999999996,1,3,2,3
-0.5,0.39058674868666554,-1.0,1.0,0.97,1,4,3,1
0.5,-0.5073191428237331,0.6666666666666666,0.6666666666666666,0.97,1,5,1,4
0.5,-0.7235227831302993,0.6666666666666666,0.6666666666666666,0.97,1,6,4,2
0.0,0.45999328075633067,0.0,0.0,0.89,2,3,3,2
