year,country,party,vote,seat,family,lrgen,galtan,country_name,econ_ideology,social_ideology
2024,11,LAB,33.7,65.699997,5,3.809523820877075,3.333333253860474,United Kingdom,-0.23809523582458497,-0.3333333492279052
2024,11,CONS,23.7,19.299999,2,7.666666507720947,7.142857074737549,United Kingdom,0.5333333015441895,0.4285714149475098
2024,11,REF UK,14.3,0.80000001,1,9.2380952835083,9.100000381469728,United Kingdom,0.8476190567016602,0.8200000762939457
2024,11,LibDem,12.2,11.5,3,3.857142925262451,1.761904716491699,United Kingdom,-0.22857141494750977,-0.6476190567016602
2024,11,GREEN,6.4,0.60000002,7,2.049999952316284,1.450000047683716,United Kingdom,-0.5900000095367431,-0.7099999904632568
2024,11,SNP,2.5,1.4,8,3.315789461135864,2.823529481887817,United Kingdom,-0.33684210777282725,-0.4352941036224366
2024,11,PLAID,0.7,0.60000002,8,3.125,3.454545497894287,United Kingdom,-0.375,-0.30909090042114257
